"","Var1","Freq"
"1274","Sofitel Paris Baltimore Tour Eiffel",123
"691","Hotel Le Squara",122
"886","Le G n ral H tel",122
"1128","Palazzo Parigi Hotel Grand Spa Milano",122
"1236","San Domenico House",122
"1281","St George Hotel",122
"341","Four Seasons Hotel George V Paris",121
"504","Haymarket Hotel",121
"647","Hotel Elys es Bassano",121
"768","Hotel Saint Dominique",121
"895","Le Marquis Eiffel",121
"11","Abba Sants",120
"139","Best Western Le Jardin de Cluny",120
"261","Crowne Plaza Barcelona Fira Center",120
"560","Hotel 4 Barcelona",120
"714","Hotel Mediolanum",120
"912","Le Senat",120
"1069","NH Hesperia Barcelona Presidente",120
"1201","Relais Saint Jacques",120
"1319","The Beaumont Hotel",120
"1395","The Ritz Carlton Vienna",120
"78","Atahotel Contessa Jolanda",119
"79","Atahotel Linea Uno",119
"122","Best Western Amiral Hotel",119
"123","Best Western Antares Hotel Concorde",119
"584","Hotel Bagu s",119
"801","Hotel Vignon",119
"861","L Empire Paris",119
"903","Le Pavillon de la Reine Spa",119
"891","Le M ridien Barcelona",118
"189","Buddha Bar Hotel Paris",117
"461","H tel Mansart Esprit de France",116
"488","H10 Casa Mimosa 4 Sup",116
"435","H tel Duc De St Simon",115
"667","Hotel Indigo Paris Opera",115
"726","Hotel Monge",115
"1108","Nu Hotel",115
"1122","Op ra Marigny",115
"1139","Park Hyatt Milano",115
"1257","Sheraton Grand London Park Lane",115
"1262","Simply Rooms Suites",115
"106","Baglioni Hotel London The Leading Hotels of the World",114
"107","Balmoral Champs Elys es",114
"363","Graben Hotel",114
"375","Grand Pigalle Hotel",114
"937","London Suites",114
"51","Antares Hotel Rubens",113
"471","H tel R de Paris Boutique Hotel",113
"921","Les Plumes Hotel",113
"1079","Nolinski Paris",113
"1165","Platine Hotel Spa",113
"152","Best Western Plus Elys e Secret",111
"450","H tel La Comtesse by Elegancia",111
"614","Hotel Clerici",111
"1037","Montagu Place Hotel",111
"1418","The Westin Paris Vend me",111
"344","FourSide Hotel Suites Vienna",110
"555","Holiday Inn Paris Op ra Grands Boulevards",110
"670","Hotel Johann Strauss",110
"725","Hotel Monceau Wagram",110
"529","Hilton Paris Opera",109
"857","Klima Hotel Milano Fiere",109
"1073","NH Milano Palazzo Moscova",109
"431","H tel des Ducs D Anjou",108
"615","Hotel Corvinus",108
"722","Hotel Midmost",108
"918","Les Jardins De La Villa Spa",108
"1265","Sir Adam Hotel",108
"26","ADI Hotel Poliziano Fiera",107
"437","H tel Elysees Mermoz",107
"963","Meli Milano",107
"964","Melia Barcelona Sarri ",107
"1075","NH Sants Barcelona",107
"401","H tel Arvor Saint Georges",106
"433","H tel Du Jeu De Paume",106
"483","H tel Vernet",106
"1016","Mercure Vaugirard Paris Porte De Versailles",106
"1471","Vincci Mae",106
"407","H tel Bel Ami",105
"609","Hotel Champs Elys es Friedland by Happyculture",105
"631","Hotel Des Saints Peres Esprit de France",105
"752","Hotel Plaza Elys es",105
"419","H tel de Banville",104
"824","Idol Hotel",104
"1340","The Dylan Amsterdam",104
"4","41",103
"441","H tel Fabric",103
"507","HCC St Moritz",103
"1014","Mercure Secession Wien",103
"1334","The Corner Hotel",103
"39","Amarante Champs Elys es",102
"359","Golden Tulip Washington Opera",102
"558","Hollmann Beletage Design Boutique",102
"706","Hotel Maison FL",102
"1345","The Goring",102
"146","Best Western Op ra Batignolles",101
"460","H tel Madison by MH",101
"636","Hotel DO Pla a Reial G L ",101
"1097","Novotel Paris 17",101
"1387","The Pillar Hotel",101
"115","Bassano",100
"125","Best Western Aulivia Op ra",100
"395","Grosvenor House Suites by Jumeirah Living",100
"817","Hotel Zeitgeist Vienna Hauptbahnhof",100
"1321","The Berkeley",100
"1440","Tryp Barcelona Condal Mar Hotel",100
"314","Etoile Saint Ferdinand",99
"1388","The Portobello Hotel",99
"617","Hotel D Este",98
"689","Hotel Le Sainte Beuve",98
"776","Hotel Schild",98
"939","Lyric H tel Paris",97
"675","Hotel La Lanterne",96
"1467","Villa Opera Drouot",96
"331","Falkensteiner Hotel Wien Zentrum Schottenfeld",95
"427","H tel de Varenne",95
"448","H tel Keppler",95
"734","Hotel Nestroy Wien",95
"1486","Windermere Hotel",95
"257","Courtyard by Marriott Vienna Schoenbrunn",94
"1007","Mercure Paris Opera Louvre",94
"1130","Paris Marriott Champs Elysees Hotel",94
"226","City Hotel Deutschmeister",93
"612","Hotel Ciutadella Barcelona",93
"633","Hotel Design Secret de Paris",93
"1264","Sina The Gray",93
"1432","Timhotel Op ra Blanche Fontaine",93
"465","H tel Monna Lisa Champs Elys es",92
"1141","Park Hyatt Vienna",92
"1198","Relais Christine",92
"1261","Simm s Hotel",92
"17","AC Hotel Sants a Marriott Lifestyle Hotel",91
"56","Aparthotel Mariano Cubi Barcelona",91
"163","Best Western Premier Le Swann",91
"342","Four Seasons Hotel London at Park Lane",91
"474","H tel Regent s Garden",91
"632","Hotel des Tuileries Relais du Silence",91
"705","Hotel Maison Ath n e",91
"881","Le A",91
"892","Le M ridien Etoile",91
"947","Maison Souquet",91
"104","B Montmartre",90
"602","Hotel Carlton s Montmartre",90
"732","Hotel Murmuri Barcelona",90
"1005","Mercure Paris Opera Garnier",90
"1312","The Abbey Court Notting Hill",90
"398","H tel Ad le Jules",89
"428","H tel De Vend me",89
"728","Hotel Montaigne",89
"973","Mercer House B ria BCN",89
"347","Franklin Roosevelt",88
"806","Hotel Vittoria",88
"864","La Chambre du Marais",88
"1125","Pakat Suites Hotel",88
"1199","Relais Du Louvre",88
"323","Evenia Rossello",87
"720","Hotel Mercure Wien Westbahnhof",87
"908","Le Relais Madeleine",87
"1109","Number Sixteen",87
"118","Belfast",86
"138","Best Western Le 18 Paris",86
"711","Hotel Margot House",86
"1022","Milestone Hotel Kensington",86
"1358","The Kings Head Hotel",86
"952","Mandarin Oriental Hyde Park London",85
"1381","The One Barcelona GL",85
"1420","The Wittmore Adults Only",85
"741","Hotel Oscar",84
"923","Lindner Hotel Am Belvedere",84
"955","Marlin Waterloo",84
"1178","R Kipling by Happyculture",84
"1492","Zenit Borrell",84
"134","Best Western Hotel Mirage",83
"703","Hotel Magna Pars Small Luxury Hotels of the World",83
"764","Hotel Ronda Lesseps",83
"882","Le Belmont Champs Elys es",83
"1256","Sheraton Diana Majestic",83
"52","Antica Locanda Dei Mercanti",82
"186","Bradford Elys es Astotel",82
"364","Gran Hotel Barcino",82
"408","H tel Belloy Saint Germain By Happyculture",82
"415","H tel Crayon Rouge by Elegancia",82
"744","Hotel Panache",82
"961","Medinaceli",82
"1044","My Home In Paris",82
"1424","The Zetter Townhouse Marylebone",82
"192","Ca Bianca Hotel Corte Del Naviglio",81
"625","Hotel de Nell",81
"758","Hotel Raffaello",81
"922","LHP Hotel Napoleon",81
"1113","Ofelias Hotel 4 Sup",81
"128","Best Western Delphi Hotel",80
"426","H tel De Sers Champs Elys es Paris",80
"452","H tel Lancaster Paris Champs Elys es",80
"510","Hidden Hotel by Elegancia",80
"626","Hotel de Seze",80
"656","Hotel Garbi Millenni",80
"716","Hotel Mercure La Sorbonne Saint Germain des Pr s",80
"718","Hotel Mercure Milano Solari",80
"805","Hotel Villa Saxe Eiffel",80
"1247","Sercotel Amister Art Hotel Barcelona",80
"736","Hotel OFF Paris Seine",79
"862","L H tel",79
"866","La Maison Champs Elys es",79
"1002","Mercure Paris Montparnasse Raspail",79
"1017","Mercure Vienna First",79
"1433","Timhotel Op ra Grands Magasins",79
"1491","Zenit Barcelona",79
"148","Best Western Paris Gare Saint Lazare",78
"372","Grand Hotel et de Milan",78
"472","H tel Raphael",78
"717","Hotel Mercure Milano Centro",78
"915","Legend Saint Germain by Elegancia",78
"933","London Marriott Hotel Park Lane",78
"1303","Suites H tel Helzear Montparnasse",78
"1355","The Hub Hotel",78
"31","Alexandra Barcelona A DoubleTree by Hilton",77
"316","Eurostars Angli",77
"662","Hotel Imperial A Luxury Collection Hotel",77
"872","La Villa Maillot",77
"951","Mandarin Oriental Barcelona",77
"1413","The Wellesley Knightsbridge a Luxury Collection Hotel London",77
"178","Blakes Hotel",76
"309","Egerton House",76
"422","H tel de Jos phine BONAPARTE",76
"446","H tel Jos phine by Happyculture",76
"477","H tel Saint Marc",76
"733","Hotel Neri",76
"846","Jumeirah Carlton Tower",76
"869","La Tremoille Paris",76
"873","La Villa Royale",76
"880","Le 7 Eiffel Hotel",76
"888","Le Grey Hotel",76
"16","AC Hotel Paris Porte Maillot by Marriott",75
"67","Arenas Atiram Hotels",75
"350","Garden Elys e",75
"630","Hotel Derby",75
"658","Hotel Gran Derby Suites",75
"798","Hotel Verneuil Saint Germain",75
"1003","Mercure Paris Notre Dame Saint Germain des Pr s",75
"149","Best Western Plus 61 Paris Nation Hotel",74
"173","Best Western Tour Eiffel Invalides",74
"258","Covent Garden Hotel",74
"301","Dukes Hotel",74
"479","H tel San R gis",74
"485","H tel Waldorf Trocad ro",74
"616","Hotel Crivi s",74
"991","Mercure Paris Alesia",74
"1020","Milan Marriott Hotel",74
"133","Best Western Hotel Major",73
"596","Hotel Bristol",73
"1033","Molitor Paris MGallery by Sofitel",73
"1447","UNA Hotel Mediterraneo",73
"15","AC Hotel Milano a Marriott Lifestyle Hotel",72
"334","First Hotel Paris Tour Eiffel",72
"480","H tel Square Louvois",72
"506","HCC Regente",72
"694","Hotel Les Rives de Notre Dame",72
"894","Le Marcel",72
"151","Best Western Plus de Neuville Arc de Triomphe",71
"453","H tel Le Bellechasse Saint Germain",71
"680","Hotel Landhaus Fuhrgassl Huber",71
"753","Hotel Portello Gruppo Minihotel",71
"782","Hotel Spa La Belle Juliette",71
"1169","Primero Primera",71
"1441","TRYP Paris Op ra",71
"459","H tel Les Dames du Panth on",70
"594","Hotel Boltzmann",70
"644","Hotel Eden",70
"701","Hotel Lumen Paris Louvre",70
"1013","Mercure Paris Tour Eiffel Pont Mirabeau",70
"1300","Style Hotel",70
"1162","Petit Palais Hotel De Charme",69
"885","Le Dokhan s a Tribute Portfolio Hotel",68
"1129","Palazzo Segreti",68
"1436","TownHouse Duomo",68
"1448","UNA Hotel Scandinavia",68
"45","Amsterdam Canal Residence",67
"75","Arthotel ANA Westbahn",67
"750","Hotel Pierre Milano",67
"818","Hyatt Regency Amsterdam",67
"1166","Plaza Tour Eiffel",67
"440","H tel F licien by Elegancia",66
"557","Holiday Inn Vienna City",66
"600","Hotel Capitol Milano",66
"640","Hotel du Petit Moulin",66
"700","Hotel Louvre Montana",66
"899","Le Metropolitan a Tribute Portfolio Hotel",66
"1131","Paris Marriott Opera Ambassador Hotel",66
"412","H tel Champs lys es Plaza",65
"696","Hotel Liberty",65
"740","Hotel Opera Cadet",65
"1006","Mercure Paris Opera Grands Boulevards",65
"1008","Mercure Paris Pigalle Sacre Coeur",65
"232","Club Hotel Cortina",64
"1434","TownHouse 12",64
"458","H tel Le Walt",63
"466","H tel Montmartre Mon Amour",63
"468","H tel Paris Bastille Boutet MGallery by Sofitel",63
"548","Holiday Inn Paris Elys es",63
"627","Hotel De Vigny",63
"690","Hotel Le Six",63
"920","Les Matins de Paris Spa",63
"1366","The Levin Hotel",63
"1459","Vienna Sporthotel",63
"469","H tel Pont Royal",62
"595","Hotel Boutique Duomo",62
"944","Maison Albar Hotel Paris C line",62
"1036","Monsieur Cadet Hotel Spa Ex Meyerhold Spa ",62
"1359","The LaLit London",62
"1460","Vilana Hotel",62
"1464","Villa Eugenie",62
"424","H tel de La Tamise Esprit de France",61
"748","Hotel Park Villa",61
"791","Hotel Tiziano Park Vita Parcour Gruppo MiniHotels",61
"1438","Trinit Haussmann",61
"597","Hotel Bristol A Luxury Collection Hotel",60
"1270","Snob Hotel by Elegancia",60
"270","D clic Hotel",59
"746","Hotel Parco di Sch nbrunn Vienna",59
"906","Le Pradey",59
"1095","Novotel Milano Nord Ca Granda",59
"1435","TownHouse 33",59
"1454","Vice Versa",59
"76","Artus Hotel by MH",58
"143","Best Western Mercedes Arc de Triomphe",58
"420","H tel De Buci by MH",58
"761","Hotel Rekord",58
"789","Hotel The Peninsula Paris",58
"807","Hotel VIU Milan",58
"248","Cordial Theaterhotel Wien",57
"686","Hotel Le petit Paris",57
"901","Le Narcisse Blanc Spa",57
"914","Le Tsuba Hotel",57
"1238","Sansi Diputacio",57
"13","AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel",56
"455","H tel Le Marianne",56
"1164","Pillows Anna van den Vondel Amsterdam",56
"552","Holiday Inn Paris Montmartre",55
"599","Hotel Cambon",55
"698","Hotel Lombardia",55
"699","Hotel Louis 2",55
"113","Barcelona Hotel Colonial",54
"572","Hotel America Barcelona",54
"967","Melia Paris Notre Dame",54
"990","Mercure Paris 19 Philharmonie La Villette",54
"878","Le 123 Elysees Astotel",53
"968","Melia Paris Tour Eiffel",53
"1455","Victoire Germain",53
"169","Best Western Premier Trocadero La Tour",52
"315","Eurohotel Diagonal Port",52
"1466","Villa Montparnasse",52
"463","H tel Mayfair Paris",51
"657","Hotel Georgette",51
"678","Hotel La Villa Saint Germain Des Pr s",51
"788","Hotel Sunflower",51
"969","Melia Paris Vendome",51
"429","H tel des Academies et des Arts",50
"635","Hotel Dieci",50
"832","Ilunion Bel Art",50
"180","BoB Hotel by Elegancia",49
"380","Grange Buckingham Hotel",49
"547","Holiday Inn Milan Garibaldi Station",49
"681","Hotel Le 10 BIS",49
"1032","Mokinba Hotels Montebianco",49
"1211","Rocco Forte Brown s Hotel",49
"1219","Roomz Vienna",49
"252","Cotton House Hotel Autograph Collection",48
"484","H tel Victor Hugo Paris Kl ber",48
"1204","Renaissance Paris Arc de Triomphe Hotel",48
"1248","Seven Hotel",48
"684","Hotel Le Mareuil",47
"1456","Victoires Opera",47
"1465","Villa Lut ce Port Royal",47
"975","Mercure Barcelona Condor",46
"1132","Paris Marriott Rive Gauche Hotel",46
"1254","Shangri La Hotel Paris",46
"18","AC Hotel Victoria Suites a Marriott Lifestyle Hotel",45
"478","H tel Saint Paul Rive Gauche",45
"512","Hilton Barcelona",45
"591","Hotel Bellevue Wien",45
"766","Hotel Royal Elys es",45
"841","InterContinental Paris Avenue Marceau",45
"1047","Nell Hotel Suites",45
"1333","The Connaught",45
"227","City Rooms",44
"343","Four Seasons Hotel Milano",44
"473","H tel Recamier",44
"476","H tel Regina Op ra Grands Boulevards",44
"729","Hotel Montalembert",44
"890","Le Littr ",44
"965","Melia Barcelona Sky 4 Sup",44
"1116","Okko Hotels Paris Porte De Versailles",43
"273","Das Triest Hotel",42
"905","Le Pigalle Hotel",42
"911","Le Saint Hotel Paris",42
"8","A La Villa Madame",41
"298","DoubleTree By Hilton Milan",41
"871","La Villa Haussmann",41
"1299","Strandhotel Alte Donau",41
"456","H tel Le Relais Saint Germain",40
"668","Hotel J ger",40
"877","Lansbury Heritage Hotel",40
"900","Le Meurice",40
"904","Le Pavillon des Lettres",40
"1011","Mercure Paris Porte De Versailles Expo",40
"1170","Prince de Galles a Luxury Collection hotel Paris",40
"1476","W Paris Op ra",40
"563","Hotel Abbot",39
"997","Mercure Paris Champs Elys es",39
"1015","Mercure Tour Eiffel Grenelle",39
"69","Arioso",38
"304","Duret",38
"948","Majestic Hotel Spa",38
"121","Best Western Allegro Nation",37
"131","Best Western Hotel Astoria",37
"190","Bulgari Hotel London",37
"482","H tel Thoumieux",37
"553","Holiday Inn Paris Montparnasse Pasteur",37
"999","Mercure Paris Gare Montparnasse",37
"751","Hotel Plaza Athenee Paris",36
"403","H tel Barri re Le Fouquet s",35
"692","Hotel Les Bains Paris",35
"957","Maxim Op ra",35
"1035","Monhotel Lounge SPA",35
"400","H tel Amastan Paris",34
"579","Hotel Astra Opera Astotel",34
"792","Hotel Tocq",34
"838","InterContinental Amstel Amsterdam",34
"953","Mandarin Oriental Milan",34
"993","Mercure Paris Bastille Marais",34
"1488","Windsor Opera",34
"677","Hotel La Spezia Gruppo MiniHotel",33
"1004","Mercure Paris Op ra Faubourg Montmartre",33
"1203","Renaissance Barcelona Hotel",33
"1311","TH Street Duomo",33
"9","ABaC Restaurant Hotel Barcelona GL Monumento",31
"1360","The Lanesborough",31
"1423","The Zetter Townhouse Clerkenwell",31
"50","Antares Hotel Accademia",30
"442","H tel France d Antin Op ra",30
"467","H tel Original Paris",30
"887","Le Grand H tel de Normandie",30
"907","Le Relais M dicis",30
"1239","Sansi Pedralbes",30
"1337","The Curtain",30
"80","Atala Champs Elys es",29
"242","COMO The Halkin",29
"787","Hotel Stendhal Place Vend me Paris MGallery by Sofitel",29
"1140","Park Hyatt Paris Vendome",29
"1463","Villa d Estr es",29
"5","45 Park Lane Dorchester Collection",28
"564","Hotel Advance",28
"576","Hotel Arkadenhof",28
"785","Hotel Square",28
"814","Hotel Whistler",28
"1210","Ritz Paris",28
"1342","The Franklin Hotel Starhotels Collezione",28
"987","Mercure Milano Regency",27
"1009","Mercure Paris Place d Italie",27
"1096","Novotel Paris 14 Porte d Orl ans",27
"1351","The Henrietta Hotel",27
"27","Admiral Hotel",26
"707","Hotel Malte Astotel",26
"781","Hotel Silver",26
"1205","Renaissance Paris Le Parc Trocadero Hotel",26
"1461","Villa Alessandra",26
"653","Hotel G tico",25
"794","Hotel Tour d Auvergne Opera",25
"804","Hotel Villa Lafayette Paris IX",25
"988","Mercure Paris 15 Porte de Versailles",25
"362","Goralska R sidences H tel Paris Bastille",24
"578","Hotel Astor Saint Honor ",24
"687","Hotel Le Placide Saint Germain Des Pr s",24
"780","Hotel Sezz Paris",24
"1000","Mercure Paris Gobelins Place d Italie",24
"1457","Victoria Palace Hotel",24
"643","Hotel Dupond Smith",23
"910","Le Roch Hotel Spa",23
"457","H tel Le Royal Monceau Raffles Paris",22
"685","Hotel Le Pera",22
"994","Mercure Paris Bastille Saint Antoine",22
"1019","MiHotel",22
"1365","The Level at Melia Barcelona Sky",22
"35","Am Spiegeln",21
"954","Mandarin Oriental Paris",21
"992","Mercure Paris Arc de Triomphe Etoile",21
"352","Gartenhotel Altmannsdorf Hotel 1",20
"515","Hilton Garden Inn Vienna South",20
"688","Hotel Le Saint Gregoire",20
"860","L Edmond H tel",20
"183","Boutique H tel Konfidentiel",19
"859","Kube Hotel Ice Bar",19
"989","Mercure Paris 17 me Saint Lazare Monceau",19
"191","Bulgari Hotel Milano",17
"779","Hotel Seven One Seven",17
"14","AC Hotel Irla a Marriott Lifestyle Hotel",16
"1126","Palais Coburg Residenz",16
"1279","Splendide Royal Paris",16
"645","Hotel Eiffel Blomet",15
"966","Melia Paris Champs Elys es",15
"299","Drawing Hotel",14
"610","Hotel Chavanel",14
"822","Ibis Styles Paris Gare Saint Lazare",14
"1155","Pershing Hall",14
"1207","Renaissance Paris Vendome Hotel",14
"1217","Room Mate Gerard",14
"956","MARQUIS Faubourg St Honor Relais Ch teaux",13
"1206","Renaissance Paris Republique Hotel Spa",13
"1490","XO Hotel",13
"182","Boundary Rooms Suites",12
"620","Hotel Daniel Paris",12
"646","Hotel Eitlj rg",12
"821","Ibis Styles Milano Palmanova",12
"889","Le Lavoisier",12
"810","Hotel Wagner",10
"1010","Mercure Paris Porte d Orleans",10
"655","Hotel Gallitzinberg",8
